"ID","Category","Name","Status","Assigned To","Description","Goal","Comments","User Story"
"SAF-003","Safety","Tool Parameter Validation","Done","Developer Agent","Extract and validate includePattern, includeIgnoredFiles for grep_search. Block semantic_search when it could expose protected files. Addresses audit findings 2 and 3.","grep_search and semantic_search bypass vectors are closed","Iteration 2 PASS: 57/57 tests including brace expansion bypass fix. Tester approved.","US-010"
"SAF-004","Safety","Terminal Sanitization ? Design","Done","Developer Agent","Write a design document specifying the allowlist approach for terminal commands: define permitted command patterns, document edge cases, specify how string fragmentation / variable concatenation / multi-interpreter bypasses are prevented.","Written design document reviewed and approved before implementation","Iteration 2 â€” BUG-005 through BUG-008 fixed; TODO-5 addressed. Stage 4 now specifies ;/&&/|| chain-splitting; Section 12.4 residual checks extended to full P-01â€“P-28 pre-scan; P-10 code block updated with -e short-flag fix; pattern count corrected to 28; version-alias matching specified for python3.x and pip3.x. Tester re-review PASS â€” all 5 issues confirmed fixed; 96/96 tests pass.","US-011"
"SAF-005","Safety","Terminal Command Sanitization","Done","Developer Agent","Implement the terminal allowlist defined in SAF-004. Replace string-literal pattern matching with the approved allowlist approach.","Terminal string fragmentation attack vector fully eliminated","Iteration 3: BUG-016 fixed â€” no-space and fd-prefixed redirect variants now zone-checked via _REDIRECT_OP_RE and _EMBEDDED_REDIRECT_RE regex patterns. 112/112 SAF-005 tests pass (ET-027 to ET-032 now pass). Tester Iteration 3 PASS.","US-011"
"SAF-006","Safety","Recursive Enumeration Protection","Done","Developer Agent","Detect and block recursive listing commands (Get-ChildItem -Recurse, dir /s, tree, find, ls -R) targeting ancestors of protected directories. Addresses audit finding 4.","Recursive directory enumeration of protected zones is blocked","Depends on SAF-001. Iteration 4: BUG-024 fixed â€” _WIN_FLAG_RE guard added in Step 7 to skip Windows-style flags (/s /b etc.) before adding to path_args; cwd fallback now fires correctly; 65/65 tests pass.","US-011"
"SAF-007","Safety","Write Restriction Outside Project","Done","Developer Agent","Deny all file write operations (create_file, replace_string_in_file, multi_replace_string_in_file) targeting paths outside Project/. Addresses audit finding 6.","No file writes possible outside the designated working directory","Tester PASS: 54/54 tests. validate_write_tool() implemented in security_gate.py.","US-012"
"SAF-008","Safety","Hook File Integrity","Done","Developer Agent","On startup, verify SHA256 hashes of security_gate.py and settings.json against known-good values embedded in the script. Alert or refuse to run if modified. Addresses audit finding 5.","Tampering with safety-critical files is detectable at hook startup","Implementation complete: integrity verification functions injected into security_gate.py with SHA256 hashes. Tests in tests/SAF-008/.","US-013"
"SAF-009","Safety","Cross-Platform Test Suite","Done","Developer Agent","Create automated tests (pytest) validating all security zones, all bypass vectors from the audit report, and all tool types. Tests must run on Windows, macOS, and Linux.","Every audit finding has a regression test; CI runs tests on all 3 OSes","Tester PASS: 59/59 tests (50 Developer + 9 Tester edge-case). All 6 audit findings covered. Zero regressions.","Enabler"
"SAF-010","Safety","Hook Integration Config","Done","Developer Agent","Create require-approval.json pointing to the new Python security gate. Ensure VS Code discovers and invokes it for every PreToolUse event.","Python hook is activated via standard VS Code hook mechanism","Tester PASS: 29/29 tests. require-approval.json created and verified.","Enabler"
"GUI-001","GUI","Main Window Layout","Done","Developer Agent","Create the main customtkinter window with: project name text input, project type dropdown, destination path field with browse button, ""Open in VS Code"" checkbox, ""Create Project"" button","Window renders correctly on Windows, macOS, and Linux","Depends on INS-001","Enabler"
"GUI-002","GUI","Project Type Selection","Done","Developer Agent","Populate the project type dropdown dynamically by listing subdirectories of templates/. Initial types: ""Coding"" and ""Creative / Marketing"".","Dropdown shows all available template types; adding a template folder automatically adds a new option","Tester PASS: 31/31 tests (25 dev + 6 Tester edge-case). Dropdown dynamically populated from templates/. No regressions.","US-003"
"GUI-003","GUI","Folder Name Input","Done","Developer Agent","Text field for the user to enter a custom project folder name. Validate: not empty, no special characters that break file systems, no duplicate folder at target path","User can name their project freely; invalid names are rejected with a clear message","Depends on GUI-001","US-004"
"GUI-004","GUI","Location Browser","Done","Developer Agent","Folder browser dialog (native OS dialog) for selecting the destination path. Validate: path exists, path is writable.","User can browse to and select any writable folder on their system","Depends on GUI-001","US-004"
"GUI-005","GUI","Project Creation Logic","Done","Developer Agent","On ""Create Project"" click: copy the selected template directory to <destination>/<folder_name>/. Show success message or error feedback in the UI.","Template is copied correctly; user sees confirmation or actionable error","Tester PASS: 42/42 tests (27 dev + 15 Tester edge-case). All 4 AC met. Path-traversal guard verified. No regressions.","US-005"
"GUI-006","GUI","VS Code Auto-Open","Done","Developer Agent","Detect VS Code executable (platform-specific paths + PATH lookup). When ""Open in VS Code"" is checked and project creation succeeds, launch VS Code with the new folder as workspace. Grey out checkbox if VS Code is not detected.","VS Code opens the new workspace automatically; graceful fallback if VS Code not found","Tester review (2026-03-13): 34 tests (14 dev + 20 tester edge-case). All AC met. Security: no shell=True, list args only. conftest autouse fixture prevents real VS Code launches. Pending human test execution.","US-006"
"GUI-007","GUI","Input Validation & Error UX","Done","Developer Agent","Validate all user inputs before project creation. Display clear, inline error messages for: empty name, invalid characters, path not found, write permission denied, duplicate folder name.","All invalid states produce user-friendly error messages; no silent failures","Tester review (2026-03-13): ~79 tests (55 dev + 24 tester edge-case). Reserved names, unicode, API contracts, integration tested. Pending human test execution.","US-004"
"GUI-008","GUI","Version Display","Done","Developer Agent","Display the current installed Launcher version in the main window","Current version string is visible in the main window at all times","Tester FAIL (Iteration 1): version_label never added to app.py; get_display_version not imported in app.py; no dev-log.md; no developer tests submitted. Iteration 2: get_display_version import added; version_label widget added via place() at bottom-right of window. Tester PASS (Iteration 2): 14/14 tests pass; 924/936 full suite pass; 0 new regressions.","US-014"
"GUI-009","GUI","Update Notification Banner","Done","Developer Agent","Show a non-blocking banner in the UI when a newer version is available","Banner appears when update is available; does not interrupt normal workflow","Tester PASS: 27/27 tests (11 dev + 13 edge-case + 3 Tester additions). Background daemon thread; after(0) main-thread dispatch; banner toggles correctly in all paths; no regressions.","US-015"
"GUI-010","GUI","Check for Updates Button","Done","Developer Agent","Add a Check for Updates button or menu item that manually triggers an update check","Manual check triggers the same version-check flow as the silent on-launch check","Tester PASS: 22/22 tests (9 dev + 10 edge-case + 3 Tester additions). Button disables/restores correctly; daemon thread; manual=True propagated; after(0) zero-delay confirmed; no regressions.","US-015"
"INS-009","Installer","GitHub Releases Version Check","Done","Developer Agent","On app launch silently query the GitHub Releases API for the latest version; compare against the current version using semantic versioning; return an update-available flag","Version check runs silently on launch and correctly identifies when a newer release exists","Tester PASS: 42/42 tests (36 Developer + 6 Tester edge-case). 5-second timeout, stdlib urllib only, Accept header verified, URL hardcoded (no SSRF vector), all exceptions silently caught. Minor dev-log doc inaccuracy noted (V vs v) â€” non-blocking.","US-015"
"INS-010","Installer","Update Download","Done","Developer Agent","When the user initiates an update download the appropriate platform installer artifact from the GitHub Releases assets to a temp directory","Correct platform installer downloaded to temp dir; integrity verified before proceeding","Tester review (2026-03-13): ~92 tests (62 dev + 30 tester edge-case). SSRF protection, SHA256 verification, platform detection, sanitization all tested. Pending human test execution.","US-016"
"INS-011","Installer","Update Apply and Restart","Done","Developer Agent","Launch the downloaded installer and close the current Launcher instance; handle platform differences (Windows .exe silent install, macOS .dmg, Linux .AppImage swap)","Launcher restarts running the new version after update completes on all 3 OSes","Depends on INS-010. Tester PASS: 66 tests (40 dev + 26 Tester edge-case). No shell=True; list args; platform dispatch verified; macOS -nobrowse; Linux execv+argv; GUI re-entrancy guard; zero regressions; 1659 total suite pass.","US-016"
"SAF-011","SAF","Hash Update Script","Done","Developer Agent","Create update_hashes.py in Default-Project/.github/hooks/scripts/ that recomputes SHA256 hashes of security_gate.py and settings.json and re-embeds them into security_gate.py. This resolves BUG-027.","Administrators can run update_hashes.py to safely re-embed hashes after an authorized change to security files.","Created during 2026-03-13 maintenance to address BUG-027.","US-013"
"INS-012","Installer",".gitignore Configuration","Done","Developer Agent","Create .gitignore at repository root. Exclude __pycache__/, *.pyc, *.pyo, .eggs/, *.egg-info/, dist/, build/, .pytest_cache/, .venv/, env/, venv/, *.spec (generated PyInstaller specs), .DS_Store, Thumbs.db.","No Python bytecache, build artifacts, or virtualenv files are tracked by git","Identified during INS-001 testing â€” __pycache__ files were accidentally committed. .gitignore created manually 2026-03-10; this WP formalizes and verifies the configuration.","Enabler"
"GUI-011","GUI","Apply Company Color Theme","Done","Developer Agent","Apply the company color palette to the launcher UI: set primary background to dark blue (#0A1D4E), interactive elements to bright blue (#5BC5F2), and all text to white or high-contrast light color.","UI colors match the company brand palette as specified in the acceptance criteria of US-007","Iteration 2: Changes applied to disk as part of merged GUI-003/004/011/012 implementation.","US-007"
"GUI-012","GUI","UI Spacing and Visual Hierarchy","Done","Developer Agent","Refine the launcher layout to ensure generous spacing between UI elements, a clear visual hierarchy guiding the user through project creation steps, and consistent polished styling on all components (buttons, labels, input fields).","Layout is uncluttered with clear visual hierarchy; all components have consistent and polished styling","","US-008"
"FIX-001","Fix","GUI-004 Mock Isolation Fix","Done","Human","Fix test_destination_error_label_grid_row_4 â€” all CTkLabel() calls return the same MagicMock. Either fix test to use call_args_list or make mock return unique objects per call.","GUI-004 test_destination_error_label_grid_row_4 passes","BUG-028. Fixed by human â€” test updated to use call_args_list with any() check.","Enabler"
"FIX-002","Fix","SAF-010 Hook Config Migration","Done","Human","Update require-approval.json in both Default-Project/ and templates/coding/ to reference python security_gate.py instead of legacy bash/powershell scripts.","All 8 SAF-010 hook config tests pass","BUG-029. Fixed by human â€” both require-approval.json files updated to python security_gate.py.","Enabler"
"FIX-003","Fix","INS-004 Template Sync","Done","Developer Agent","Sync all files in templates/coding/ with Default-Project/ to resolve content mismatches in settings.json and non-JSON files. After sync, verify SHA256 hashes in security_gate.py match the current file contents; re-embed if mismatched.","INS-004 template bundling and edge case tests pass; SAF-008 hash integrity tests pass","BUG-030. FIX-002 now resolved. Previous attempt crashed â€” reset to Open.","Enabler"
"FIX-004","Fix","INS-006 Shell Script Line Endings","Done","Developer Agent","Convert build_dmg.sh (and build_appimage.sh if needed) from CRLF to LF. Ensure .gitattributes eol=lf rule is enforced.","INS-006 line ending tests pass","BUG-031","Enabler"
"FIX-005","Fix","INS-012 Untrack launcher.spec","Done","Developer Agent","Run git rm --cached launcher.spec to untrack the file while keeping it on disk. The .gitignore *.spec rule will then take effect.","INS-012 test_gitignore_git_recognises_spec passes","BUG-032","Enabler"
"FIX-006","Fix","Test Safety Infrastructure","Done","Developer Agent","Harden tests/conftest.py with multi-layer safety fixtures: (1) global subprocess.Popen guard for vscode.py, (2) patch check_for_update at both source and app.py binding, (3) patch shutil.which for 'code' to return None. Add 'Safe Testing of Launch-Capable Code' section to testing-protocol.md. Delete stale pytest_*.txt temp files from repo root.","No test can spawn real VS Code instances, GUI popups, or HTTP calls. Testing rules documented.","Addresses VS Code instance flooding crash. Temp file cleanup included.","Enabler"
"FIX-007","Fix","Standardize GUI Test Mock Pattern","Done","Developer Agent","Fix 15 test files that use the old del-sys.modules + reimport pattern causing order-dependent failures in full suite runs. Replace with _CTK_MOCK = sys.modules[customtkinter] (shared mock reference). Also: remove BOM from app.py, fix conftest check_for_update return value to (False 0.0.0), update GUI-012 window height expectation.","Full test suite passes with 0 failures regardless of test execution order.","Root cause: each reimport creates a new launcher.gui.app module; conftest fixtures only patch the last one. 33 order-dependent regressions.","Enabler"
"FIX-008","Fix","Conftest Multi-Layer VS Code Guard","Done","Developer Agent","Add defense-in-depth to tests/conftest.py: (1) mock shutil.which for 'code' to return None, (2) add subprocess.Popen sentinel that raises RuntimeError if 'code' is in args, (3) update testing-protocol.md with multi-layer safety requirements and agent emergency procedures.","No test can spawn real VS Code instances even if open_in_vscode patches are bypassed via module reimport.","Iteration 2: BUG-033 fixed â€” added _VSCODE_CMDS frozenset; extended _guarded_which and _guarded_popen to block code-insiders in list, string, and path-ending forms. All 11 FIX-008 tests pass; 1567/1567 regression green.","Enabler"
"INS-013","Installer","CI Workflow Skeleton","Done","Developer Agent","Create .github/workflows/release.yml with push-to-version-tag trigger (v*.*.*) and empty named job stubs: windows-build macos-intel-build macos-arm-build linux-build release. Validate YAML syntax.","Workflow file exists with valid YAML correct tag trigger and scaffolded job names; no job steps yet.","Tester PASS: 24/24 tests (12 dev + 12 Tester edge-case). YAML round-trip, no duplicate jobs, no shell directives, release.needs exact membership, no pull_request_target, no BOM, no hardcoded secrets â€” all verified. 1683/1683 regression green.","Enabler"
"INS-014","Installer","CI Windows Build Job","Done","Developer Agent","Add windows-build job to .github/workflows/release.yml: runs-on windows-latest; steps: checkout setup-python 3.11 pip install -e .[dev] pyinstaller launcher.spec install Inno Setup via chocolatey run iscc src/installer/windows/setup.iss upload-artifact (AgentEnvironmentLauncher-Setup.exe).","windows-build job fully defined with all steps; EXE artifact uploaded.","Tester FAIL (Iteration 1): BUG-034 â€” artifact path corrected to src/installer/windows/Output/AgentEnvironmentLauncher-Setup.exe. Test strengthened to exact equality. Iteration 2: 27/27 tests pass; 1710 full suite pass; 0 failures. Tester PASS (Iteration 2): BUG-034 closed; all 27 INS-014 tests pass; 1710 full suite pass.","Enabler"
"INS-015","Installer","CI macOS Build Jobs","Done","Developer Agent","Add macos-intel-build (runs-on macos-13) and macos-arm-build (runs-on macos-14) jobs to .github/workflows/release.yml. Each: checkout setup-python 3.11 pip install -e .[dev] bash src/installer/macos/build_dmg.sh <arch> upload-artifact (DMG file).","Both macOS jobs fully defined; Intel DMG and ARM DMG artifacts uploaded.","Tester PASS: 49 tests (31 dev + 18 Tester edge-case). Runners distinct (macos-13/14), correct arch args (x86_64/arm64), chmod+x ordering verified, artifact names distinct, no secrets/tokens/shell-overrides, zero regressions. 1759 total suite pass.","Enabler"
"INS-016","Installer","CI Linux Build Job","Done","Developer Agent","Add linux-build job (runs-on ubuntu-latest) to .github/workflows/release.yml: checkout setup-python 3.11 pip install -e .[dev] apt-get install libfuse2 bash src/installer/linux/build_appimage.sh x86_64 upload-artifact (AppImage file).","linux-build job fully defined; AppImage artifact uploaded.","Tester PASS: 35 tests (28 dev + 7 Tester edge-case). libfuse2 ordering, chmod+x, artifact path glob, no shell overrides, no secrets, sudo only for apt-get, distinct artifact name, script presence â€” all verified. 1794 total suite pass.","Enabler"
"INS-017","Installer","CI Release Upload Job","Done","Developer Agent","Add release job to .github/workflows/release.yml with needs: [windows-build macos-intel-build macos-arm-build linux-build]. Steps: download all 4 artifacts create GitHub Release via softprops/action-gh-release attach EXE two DMGs and AppImage as release assets.","On push to vX.Y.Z tag all 4 platform artifacts are attached to a GitHub Release automatically.","Depends on INS-013 INS-014 INS-015 INS-016. Tester PASS: 32 tests (21 dev + 11 Tester edge-case). permissions/needs/download-artifact/softprops/files-glob/generate_release_notes/no-token-leak/pinned-versions all verified. 1819 total suite pass.","Enabler"
"FIX-009","Fix","TST-ID Deduplication","Done","Developer Agent","Renumber all duplicate TST-IDs in docs/test-results/test-results.csv to restore unique IDs. Scan for the current maximum TST-ID, then reassign new sequential IDs to all duplicated entries, keeping the earliest occurrence unchanged.","Every TST-ID in test-results.csv is unique; no duplicate IDs remain.","BUG-035. Recurrence of BUG-009. Tester PASS: 6 tests (3 dev + 3 Tester edge-case). 0 duplicates, sequential range verified, WP Reference all populated, dates all valid. 1822 total suite pass.","Enabler"
"FIX-010","Fix","Fix CI/CD Release Pipeline Failures","Done","Developer Agent","Fix all issues preventing the release.yml CI/CD pipeline from building successfully: (1) Update deprecated macos-13 runner to macos-15, (2) Fix Inno Setup SourceDir path resolution, (3) Sync version numbers to 1.0.0 in all build scripts, (4) Remove redundant PyInstaller steps from macOS/Linux jobs that prevent --target-arch from being used.","All 4 CI build jobs (windows-build, macos-intel-build, macos-arm-build, linux-build) can complete successfully.","Addresses BUG-036 BUG-037 BUG-038","Enabler"
"FIX-011","Fix","Fix CI Spec File and Drop Intel Mac Build","Done","Developer Agent","(1) Add !launcher.spec exception to .gitignore so the manually maintained spec file is tracked while other auto-generated *.spec files remain excluded. (2) Run git add -f launcher.spec to re-track it. (3) Remove the macos-intel-build job from release.yml. (4) Update the release job needs array to remove macos-intel-build. (5) Update existing INS-012 test that checks launcher.spec is IGNORED — it should now verify launcher.spec is TRACKED.","All 3 remaining CI build jobs (windows-build, macos-arm-build, linux-build) can find launcher.spec. No macOS Intel build job exists.","Addresses BUG-039. Also drops macos-intel-build per user decision (GitHub no longer offers Intel Mac runners).","Enabler"
"FIX-012","Fix","Fix macOS PyInstaller target-arch and Windows Inno Setup directives","Done","Developer Agent","(1) Remove --target-arch CLI flag from build_dmg.sh PyInstaller invocation — not allowed with .spec files. (2) Remove ArchitecturesAllowed and ArchitecturesInstallMode from setup.iss — not supported by CI Inno Setup version.","macOS ARM and Windows CI build jobs complete successfully.","Addresses BUG-040 BUG-041. Linux build already passes.","Enabler"
"FIX-013","Fix","Fix PyInstaller Template Path Resolution","Done","Developer Agent","Fix TEMPLATES_DIR in src/launcher/config.py to use sys._MEIPASS when running inside a PyInstaller bundle. Currently Path(__file__).resolve().parent.parent.parent / ""templates"" goes above the _MEIPASS directory. Add: if getattr(sys, '_MEIPASS', None): TEMPLATES_DIR = Path(sys._MEIPASS) / ""templates"". This fixes the project type dropdown showing ""CTkOptionMenu"" instead of template names.","list_templates(TEMPLATES_DIR) returns template names in both development AND PyInstaller-bundled environments. Dropdown shows available project types.","BUG-042. Critical hotfix for v1.0.1.","US-003"
"GUI-013","GUI","Add TS-Logo to App GUI and Icon","Review","Developer Agent","Add the TS-Logo (TS-Logo.png in repo root) to the launcher: (1) Display it in the app window (e.g. top-left or as window icon using iconphoto), (2) Set it as the application icon in launcher.spec (convert to .ico for Windows) so the desktop shortcut and taskbar show the company logo, (3) Bundle the logo image in the PyInstaller spec datas.","The TS-Logo is visible in the app GUI and used as the app's desktop/taskbar icon on all platforms.","Logo file already exists at repo root as TS-Logo.png (untracked). Also update launcher.spec datas to include the logo.","US-007"
"GUI-014","GUI","Grey Out Unfinished Templates with Coming Soon","Open","","Modify the project type selection in app.py to show templates that only have a README.md (i.e. are not yet fully built out) as greyed-out entries with ""...coming soon"" appended to the name. These entries should not be selectable. Currently only templates/coding/ is complete; templates/creative-marketing/ only contains a README.md. The dropdown should show ""Coding"" (selectable) and ""Creative Marketing ...coming soon"" (greyed out, not selectable).","Unfinished templates appear in the dropdown as preview items but cannot be selected. Only fully built template directories are selectable.","A template is considered ""not ready"" if it only contains a README.md file.","US-003"
"FIX-014","Fix","Bump Version to 1.0.1","Open","","Update the version string from 1.0.0 to 1.0.1 in all locations: (1) src/launcher/config.py VERSION constant, (2) pyproject.toml version field, (3) src/installer/windows/setup.iss MyAppVersion, (4) src/installer/macos/build_dmg.sh APP_VERSION, (5) src/installer/linux/build_appimage.sh APP_VERSION.","All version references consistently show 1.0.1. Pushing tag v1.0.1 triggers CI/CD release with correct version numbers.","Hotfix release for BUG-042 and UI improvements.","Enabler"
