"ID","Title","Status","Severity","Reported By","Description","Steps to Reproduce","Expected Behaviour","Actual Behaviour","Fixed In WP","Comments"
"BUG-014","npm --prefix path to restricted zone not zone-checked","Closed","Medium","Tester Agent","npm (and similarly yarn/pnpm) has path_args_restricted=False. 'npm install --prefix .github/node_modules requests' returns ask because .github/node_modules is never zone-checked.","Call sanitize_terminal_command('npm install --prefix .github/node_modules requests' '/workspace'). Observe result == ('ask' None). Reproduce with test_bypass_npm_prefix_to_restricted_zone in tests/SAF-005/test_saf005_edge_cases.py.","Returns deny for npm/yarn/pnpm with destination flag pointing to deny-zone path.","Returns ask â€” path_args_restricted=False skips zone checks for all arguments.","SAF-005","Fix: detect --prefix/--cwd flags and zone-check next argument. Or set path_args_restricted=True for npm/yarn/pnpm."
"BUG-015","allow_arbitrary_paths field in CommandRule is never read by _validate_args","Closed","Medium","Tester Agent","CommandRule dataclass declares allow_arbitrary_paths but _validate_args only branches on path_args_restricted. Commands with allow_arbitrary_paths=False yet path_args_restricted=False (npm yarn pnpm hatch build twine code) do not have path zone checks enforced. Field is dead documentation.","Read CommandRule and search _validate_args for allow_arbitrary_paths â€” no reference found. npm/yarn/pnpm have allow_arbitrary_paths=False but no runtime enforcement.","Either remove allow_arbitrary_paths field or make _validate_args enforce it when False.","allow_arbitrary_paths is stored but has zero runtime effect.","SAF-005","Fix A: remove field. Fix B: in _validate_args when not rule.allow_arbitrary_paths apply path zone checks even if path_args_restricted is False."
"BUG-016","No-space and fd-prefixed shell redirect bypasses zone check in _validate_args","Closed","High","Tester Agent","Step 6 of _validate_args detects redirect operators by checking whether a token equals '>' or '>>' (using _REDIRECT_TOKENS = frozenset({'>>','>'})). Shell syntax allows two additional forms that produce non-matching tokens: (1) No-space redirect: 'echo evil>.github/file' â€” shlex tokenizes this as one token 'evil>.github/file'; no standalone '>' appears (2) fd-prefixed redirect: 'echo evil 1>.github/file' â€” tokenized as '1>.github/file'; '1>' does not equal '>'. In both forms the redirect destination path is never passed to zone_classifier and the command returns 'ask' instead of 'deny'.","Call sanitize_terminal_command('echo evil>.github/security_gate.py', '/workspace'). Observe result == ('ask', None). Repeat with '1>.github/file' variant. Reproduce with tests ET-027 to ET-032 in tests/SAF-005/test_saf005_edge_cases.py.","sanitize_terminal_command returns deny for any command that redirects output to a deny-zone path regardless of redirect syntax variant.","Returns ask â€” no-space and fd-prefixed redirect tokens do not match _REDIRECT_TOKENS = frozenset({'>>'","'>'}) so the destination path is never zone-checked.","SAF-005,Discovered during Tester re-review (Iteration 2) on 2026-03-11. Fix: replace exact-token matching in Step 6 with a regex that matches (a) standalone redirect tokens optionally preceded by a file descriptor digit (e.g. re.match(r'^[0-9]*>>?$', tok)) and (b) embedded redirects where '>' appears inside a token (split on '>' and zone-check the right-hand portion). Failing tests: test_redirect_no_space_basic_bypasses_gate, test_redirect_no_space_append_bypasses_gate, test_redirect_fd_prefixed_basic_bypasses_gate, test_redirect_fd_prefixed_stderr_bypasses_gate, test_redirect_fd_prefixed_append_bypasses_gate, test_redirect_cat_fd_to_restricted_zone."
"BUG-024","dir /s with no explicit directory argument not denied â€” Windows flags bypass Step 7 cwd fallback","Closed","High","Tester Agent","Step 7 of _validate_args() collects path arguments by skipping tokens that start with '-' (POSIX flags). It does not skip Windows-style flags starting with '/' (e.g. /s /b for dir). For 'dir /s' with no explicit directory path args = ['/s']. '/s' is added to path_args; _is_ancestor_of_deny_zone('/s' '/workspace') returns False; the cwd fallback ('if not path_args: path_args=['.']') never fires; the command passes as 'ask' instead of 'deny'. An agent could enumerate the entire workspace recursively including .github .vscode NoAgentZone with no deny decision.","1. Call sanitize_terminal_command('dir /s' '/workspace'). 2. Observe result == ('ask' None). 3. Reproduce with test_dir_slash_s_blocked and test_dir_slash_s_no_path_blocked.","sanitize_terminal_command returns ('deny' reason) for dir /s with no explicit directory argument.","Returns ('ask' None) â€” /s is treated as a path argument; _is_ancestor_of_deny_zone('/s' ...) returns False; workspace-root ancestor check skipped.","SAF-006","Fixed in SAF-006 Iteration 4: _WIN_FLAG_RE = re.compile(r'^/[a-zA-Z0-9]{1,2}$') added in Step 7 path-args loop to skip Windows-style flags. All 82 SAF-006 tests pass. Verified by Tester Agent 2026-03-12."
"BUG-017","GUI-011 color implementation never persisted to source files","Closed","High","Tester Agent","The developer documented the color implementation in dev-log.md but the changes were never saved to disk. src/launcher/config.py still contains only APP_NAME and VERSION with no color constants. src/launcher/gui/app.py and src/launcher/gui/components.py contain no brand color references. workpackages.csv WP status was left as Open rather than being advanced to Review.","1. Open src/launcher/config.py. 2. Search for COLOR_PRIMARY. 3. Constant does not exist. 4. Run python -m pytest tests/GUI-011/. 5. All 23 tests fail with ImportError.","All three source files updated with color constants and brand color application as described in dev-log; all 23 tests pass.","0/23 tests pass; ImportError on all color constant imports; source files unchanged from pre-WP state.","GUI-011","Discovered during Tester review on 2026-03-12 (Iteration 1). Root cause: in-memory edits discarded before save or commit. Fixed in Iteration 2 as part of merged GUI-003/004/011/012 consolidation. Verified 2026-03-12: 29/29 tests pass."
"BUG-025","GITHUB_REPO_NAME points to wrong repository","Closed","High","Human","config.py GITHUB_REPO_NAME was set to 'agent-environment-launcher' (the wrong repository). The correct repo is 'Turbulence-Solutions-Safe-Agent-Workspace'. This caused GITHUB_RELEASES_URL to query an incorrect API endpoint for version checks.","1. Open src/launcher/config.py. 2. Read GITHUB_REPO_NAME. 3. Value is 'agent-environment-launcher' instead of 'Turbulence-Solutions-Safe-Agent-Workspace'.","GITHUB_REPO_NAME == 'Turbulence-Solutions-Safe-Agent-Workspace'","GITHUB_REPO_NAME == 'agent-environment-launcher' â€” wrong repo.","Maintenance","Discovered during project cleanup 2026-03-12. Fixed by updating config.py GITHUB_REPO_NAME to 'Turbulence-Solutions-Safe-Agent-Workspace'."
"BUG-027","update_hashes.py missing from Default-Project/.github/hooks/scripts/","Closed","Medium","Tester Agent","security_gate.py comments reference update_hashes.py in three places but the file does not exist. Administrators cannot re-embed hashes after an authorised change without manually computing SHA256.","1. Navigate to Default-Project/.github/hooks/scripts/. 2. List files. 3. update_hashes.py is absent.","update_hashes.py exists and correctly recomputes and embeds both hash constants into security_gate.py.","File is absent; admin workflow for re-embedding hashes requires manual SHA256 computation.","SAF-011","Discovered Tester Agent 2026-03-12. Does not affect runtime ï¿½ both embedded hashes are currently correct. Recommend a follow-up admin-tooling task to create update_hashes.py."
"BUG-028","GUI-004 test_destination_error_label_grid_row_4 fails â€” assert 8 == 4","Closed","Medium","Orchestrator Agent","All CTkLabel() mock calls return the same MagicMock object. The update_banner widget (row 8) overwrites destination_error_label's grid call_args. Added by GUI-009, not caught because GUI-004 tests weren't re-run.","1. Run python -m pytest tests/GUI-004/test_gui004_destination_edge_cases.py::test_destination_error_label_grid_row_4 -v. 2. Observe AssertionError: assert 8 == 4.","test_destination_error_label_grid_row_4 passes; destination_error_label grid row is correctly asserted as 4.","assert 8 == 4 â€” the shared MagicMock's grid call_args reflects the last call (row=8 from update_banner) overwriting the row=4 call.","FIX-001","Discovered Orchestrator Agent 2026-03-13."
"BUG-029","SAF-010 require-approval.json references legacy shell scripts","Closed","High","Orchestrator Agent","require-approval.json still has 'bash .github/hooks/scripts/require-approval.sh' and 'powershell ... require-approval.ps1' instead of 'python .github/hooks/scripts/security_gate.py'. 8 tests fail.","1. Open Default-Project/.github/hooks/require-approval.json. 2. Read the command field. 3. Observe legacy bash/powershell script references instead of python security_gate.py.","require-approval.json references 'python .github/hooks/scripts/security_gate.py' on all platforms.","require-approval.json still references legacy shell scripts. 8 SAF-010 tests fail.","FIX-002","Discovered Orchestrator Agent 2026-03-13."
"BUG-030","INS-004 templates/coding/ files out of sync with Default-Project/","Closed","Medium","Orchestrator Agent",".vscode/settings.json and non-JSON files differ between Default-Project/ and templates/coding/. 2 tests fail.","1. Diff Default-Project/ against templates/coding/. 2. Observe differences in .vscode/settings.json and other non-JSON files.","templates/coding/ is an exact copy of Default-Project/.",".vscode/settings.json and non-JSON files differ between the two directories. 2 INS-004 tests fail.","FIX-003","Discovered Orchestrator Agent 2026-03-13. Must run AFTER FIX-002."
"BUG-031","INS-006 build_dmg.sh has CRLF line endings","Closed","Medium","Orchestrator Agent","build_dmg.sh contains Windows CRLF and bare CR characters despite .gitattributes having '*.sh text eol=lf'. 2 tests fail.","1. Run python -m pytest tests/INS-006/ -v. 2. Observe 2 failures related to line endings. 3. Run: python -c ""open('src/installer/macos/build_dmg.sh','rb').read()"" and inspect for \r\n.","build_dmg.sh uses LF line endings only.","build_dmg.sh contains CRLF and bare CR characters. 2 INS-006 tests fail.","FIX-004","Discovered Orchestrator Agent 2026-03-13."
"BUG-032","INS-012 launcher.spec tracked by git despite .gitignore rule","Closed","Low","Orchestrator Agent","launcher.spec was committed before *.spec rule was added to .gitignore. git check-ignore doesn't recognize it as ignored. 1 test fails.","1. Run git check-ignore -v launcher.spec. 2. Observe no output (file is tracked). 3. Run python -m pytest tests/INS-012/ -v. 4. test_gitignore_git_recognises_spec fails.","git check-ignore recognises launcher.spec as ignored by .gitignore *.spec rule.","launcher.spec is tracked by git; git check-ignore returns no output. 1 INS-012 test fails.","FIX-005","Discovered Orchestrator Agent 2026-03-13."
"BUG-033","FIX-008 Popen sentinel does not block 'code-insiders' VS Code Insiders binary","Closed","Medium","Tester Agent","The _subprocess_popen_sentinel fixture in tests/conftest.py only checks for 'code' (exact match) or paths ending in os.sep+'code' or containing 'visual studio code'. The VS Code Insiders binary 'code-insiders' is not matched by any of these patterns and passes straight through to the real subprocess.Popen. On a machine where VS Code Insiders is installed this would spawn a VS Code Insiders window during tests â€” exactly the scenario Layer 3 is meant to prevent.","1. Create a test that calls subprocess.Popen(['code-insiders', '/tmp']). 2. Expect RuntimeError('SAFETY VIOLATION'). 3. Run test â€” observe FileNotFoundError instead (sentinel did not intercept). 4. See tests/FIX-008/test_fix008_multilayer_guard.py::test_popen_sentinel_blocks_code_insiders and ::test_popen_sentinel_blocks_code_insiders_string_form.","_subprocess_popen_sentinel raises RuntimeError('SAFETY VIOLATION') for both 'code-insiders' list form and 'code-insiders ...' string form.","Sentinel passes 'code-insiders' through to real Popen; FileNotFoundError raised only because the binary is not installed on this machine. A machine with VS Code Insiders would silently spawn the IDE.","FIX-008 Iter 2","Discovered Tester Agent 2026-03-13. Fix: extend _guarded_popen in tests/conftest.py to also intercept 'code-insiders' in both list form (args[0] == 'code-insiders' or path ending in os.sep+'code-insiders') and string form (first word == 'code-insiders'). Also consider blocking all cmd patterns where cmd starts with 'code' to future-proof against new VS Code variants."
"BUG-034","CI Windows Build artifact path does not match Inno Setup output directory","Closed","High","Tester Agent","The upload-artifact step in the windows-build job uses path: Output/AgentEnvironmentLauncher-Setup.exe (relative to repo root). However Inno Setup resolves OutputDir relative to the .iss script file directory. Since setup.iss is at src/installer/windows/setup.iss and has no explicit OutputDir directive the EXE is written to src/installer/windows/Output/AgentEnvironmentLauncher-Setup.exe. The artifact upload will fail with No files were found with the provided path on every CI run.","1. Check .github/workflows/release.yml upload-artifact step path value. 2. Note it is Output/AgentEnvironmentLauncher-Setup.exe. 3. Check src/installer/windows/setup.iss â€” no OutputDir directive. 4. Inno Setup default: Output/ relative to script dir = src/installer/windows/Output/. 5. Run tester edge-case test test_artifact_path_matches_inno_setup_output_directory â€” FAIL.","upload-artifact path is src/installer/windows/Output/AgentEnvironmentLauncher-Setup.exe matching the actual Inno Setup output location.","Artifact path is Output/AgentEnvironmentLauncher-Setup.exe which does not exist â€” CI upload will fail.","INS-014 Iter 2","Discovered Tester Agent 2026-03-14 INS-014 Iteration 1. Fixed in Iteration 2: path corrected to src/installer/windows/Output/AgentEnvironmentLauncher-Setup.exe; developer test strengthened to exact equality. Verified by Tester Agent 2026-03-14 â€” all 27 INS-014 tests pass; 1710 full suite pass; BUG-034 closed."
"BUG-035","Recurring duplicate TST-IDs in test-results.csv (~100 collisions)","Closed","Medium","Maintenance Agent","~100 duplicate TST IDs in test-results.csv across 6 collision ranges (TST-261â€“301, TST-481â€“511, TST-522â€“544, TST-578â€“582, TST-718, TST-782). This is a recurrence of BUG-009 which was resolved during 2026-03-11 maintenance. New duplicates were introduced by subsequent workpackage implementations because no rule specifies how to determine the next available TST-ID.","1. Open docs/test-results/test-results.csv. 2. Search for any TST-ID in the range TST-261â€“TST-301. 3. Observe multiple rows with the same ID but different test names and WP references.","Each TST-ID is unique across the entire test-results.csv.","~100 TST-IDs have 2+ entries with different tests sharing the same ID.","FIX-009","Recurrence of BUG-009 pattern. Root cause: no TST-ID assignment protocol in testing-protocol.md. Will be fixed by adding a max-ID lookup rule."
"BUG-036","macos-13 runner no longer available in GitHub Actions","Closed","High","Developer Agent","The macos-intel-build job uses runs-on: macos-13 which is deprecated and removed. Error: The configuration macos-13-us-default is not supported.","1. Push a version tag. 2. Observe macos-intel-build job immediately fails with unsupported configuration error.","Job runs on an available macOS runner.","Job immediately fails with unsupported configuration.","FIX-010","Discovered Developer Agent 2026-03-14 during first real CI run."
"BUG-037","Inno Setup SourceDir not set â€” Source path resolves from .iss directory instead of repo root","Closed","High","Developer Agent","src/installer/windows/setup.iss has Source: dist\launcher\* without a SourceDir directive. Inno Setup resolves Source paths relative to the .iss file directory (src/installer/windows/) so it looks for src/installer/windows/dist/launcher/*. The actual PyInstaller output is at dist/launcher/ from repo root. The iscc step fails because source files are not found.","1. Run pyinstaller launcher.spec from repo root. 2. Run iscc src/installer/windows/setup.iss. 3. Observe error: source path not found.","Inno Setup finds PyInstaller output at dist/launcher/ from repo root.","Inno Setup looks for files at src/installer/windows/dist/launcher/* which does not exist.","FIX-010","Discovered Developer Agent 2026-03-14 during first real CI run."
"BUG-038","Build script versions hardcoded to 0.1.0 instead of 1.0.0","Closed","Medium","Developer Agent","The Inno Setup script (setup.iss) macOS DMG script (build_dmg.sh) and Linux AppImage script (build_appimage.sh) all have hardcoded version 0.1.0. The project version in pyproject.toml and config.py is 1.0.0. Release artifacts would have incorrect version numbers.","1. Open src/installer/windows/setup.iss. 2. Note MyAppVersion is 0.1.0. 3. Open src/installer/macos/build_dmg.sh. 4. Note APP_VERSION is 0.1.0. 5. Open src/installer/linux/build_appimage.sh. 6. Note APP_VERSION is 0.1.0. 7. Check pyproject.toml version â€” it is 1.0.0.","All build scripts use version 1.0.0 matching pyproject.toml.","All 3 build scripts say 0.1.0.","FIX-010","Discovered Developer Agent 2026-03-14 during first real CI run."
"BUG-039","launcher.spec untracked from git â€” CI cannot find spec file","Closed","Critical","Developer Agent","FIX-005 ran git rm --cached launcher.spec to satisfy INS-012 test. But launcher.spec is a manually maintained PyInstaller spec file needed by CI. The .gitignore *.spec rule prevents re-adding it. All 4 CI build jobs fail with ERROR: Spec file ""launcher.spec"" not found!","1. Push a version tag. 2. All 4 build jobs (windows-build macos-intel-build macos-arm-build linux-build) fail immediately. 3. Error: ERROR: Spec file ""launcher.spec"" not found!","All CI build jobs find launcher.spec and run pyinstaller successfully.","All 4 CI build jobs fail with ERROR: Spec file ""launcher.spec"" not found! because launcher.spec is untracked from git.","FIX-011","Discovered Developer Agent 2026-03-14. Root cause: FIX-005 untracked launcher.spec to satisfy INS-012 test but launcher.spec is a manually-maintained PyInstaller spec file not an auto-generated one. Fix: add !launcher.spec negation to .gitignore and re-track with git add -f."
"BUG-040","build_dmg.sh passes --target-arch to PyInstaller with a .spec file","Closed","High","Developer Agent","build_dmg.sh passes --target-arch as a CLI flag but PyInstaller does not allow makespec options when a .spec file is given. The macOS ARM CI build always fails.","1. Push a version tag. 2. Observe macos-arm-build job failing with: ERROR: option(s) not allowed: --target-architecture/--target-arch makespec options not valid when a .spec file is given.","PyInstaller runs without --target-arch flag when a .spec file is provided; macos-arm-build succeeds.","PyInstaller invocation in build_dmg.sh includes --target-arch flag; this is rejected when a .spec file is given.","FIX-012","Discovered Developer Agent 2026-03-14 during CI run analysis. Fix: remove --target-arch line from PyInstaller invocation in build_dmg.sh."
"BUG-041","setup.iss ArchitecturesInstallMode directive not recognized by CI Inno Setup","Closed","High","Developer Agent","setup.iss uses ArchitecturesInstallMode=x64compatible which is not recognized by the Inno Setup version installed via chocolatey on GitHub Actions. Windows CI build fails during iscc compilation.","1. Push a version tag. 2. Observe windows-build job failing with: Error on line 23 in setup.iss: Unrecognized [Setup] section directive ArchitecturesInstallMode.","iscc compiles setup.iss without errors; windows-build job succeeds.","iscc fails with unrecognized directive error; ArchitecturesInstallMode=x64compatible and ArchitecturesAllowed=x64compatible not supported by CI Inno Setup.","FIX-012","Discovered Developer Agent 2026-03-14 during CI run analysis. Fix: remove ArchitecturesAllowed and ArchitecturesInstallMode lines from setup.iss."
"BUG-042","Template dropdown shows ""CTkOptionMenu"" instead of project types","Closed","Critical","User","TEMPLATES_DIR in config.py uses Path(__file__).resolve().parent.parent.parent / ""templates"" which resolves outside the PyInstaller _MEIPASS directory in bundled builds. In PyInstaller, config.py is at _MEIPASS/launcher/config.py, so .parent.parent.parent goes ABOVE _MEIPASS to the OS temp directory. The bundled templates/ directory is at _MEIPASS/templates/. Since list_templates() returns an empty list, CTkOptionMenu gets values=[] and displays its class name ""CTkOptionMenu"" as default text. The dropdown is non-functional — users cannot select any project type.","1. Install the v1.0.0 bundled app. 2. Open the launcher. 3. Observe dropdown shows ""CTkOptionMenu"". 4. Cannot select any project type.","Dropdown shows available template types (""Coding"", ""Creative Marketing"")","Dropdown shows ""CTkOptionMenu"" and is non-functional","FIX-013","Root cause: no sys._MEIPASS handling in config.py for PyInstaller bundled paths."
"BUG-043","TS Logo stretched — hardcoded CTkImage size ignores aspect ratio","Closed","Medium","User","CTkImage in app.py uses hardcoded size=(160, 50) which does not match the logo actual aspect ratio, causing it to appear stretched/distorted.","1. Open the launcher. 2. Observe the TS-Logo at the top of the window. 3. Logo appears stretched horizontally.","Logo displayed with correct aspect ratio","Logo appears stretched/distorted due to hardcoded dimensions","FIX-015","Discovered during v1.0.1 testing on Windows 11 x86."
"BUG-044","TS Logo not used as app icon — launcher.spec uses .png instead of .ico","Closed","Medium","User","launcher.spec sets icon=TS-Logo.png but PyInstaller on Windows requires a .ico file. The built .exe uses the default Python icon instead of the TS logo.","1. Build the launcher with PyInstaller on Windows. 2. Check the .exe icon in file explorer or taskbar. 3. Default Python icon is shown instead of TS logo.",".exe file shows TS logo as its icon",".exe shows default Python/PyInstaller icon","FIX-016","Discovered during v1.0.1 testing on Windows 11 x86."
"BUG-045","INS-005 test_uninstall_delete_type_is_filesandirs uses wrong expected value","Closed","Low","Tester Agent","tests/INS-005/test_ins005_edge_cases.py line 198 expects regex Type:\s*filesandirs but setup.iss correctly uses filesandordirs (valid Inno Setup syntax). The test has an incorrect expected value and fails on every full suite run.","1. Run .venv\Scripts\python -m pytest tests/INS-005/ -v. 2. Observe test_uninstall_delete_type_is_filesandirs fails.","Test passes — expected regex updated to filesandordirs.","Test expects filesandirs (invalid Inno Setup) but actual file uses filesandordirs (correct syntax). Pre-existing regression unrelated to FIX-016.","FIX-043","Discovered Tester Agent 2026-03-16 during FIX-016 regression run. The correct Inno Setup UninstallDelete type is filesandordirs not filesandirs."
"BUG-046","Auto-update fails — unauthenticated GitHub API returns 404 for private repo","Closed","High","User","updater.py and downloader.py make unauthenticated requests to the GitHub Releases API. Since the repository is private, the API returns HTTP 404. check_for_update silently catches the exception and returns (False, current_version), so the launcher never detects available updates. The download function would also fail with a RuntimeError.","1. Install v1.0.1 of the launcher from the private repo. 2. Push v1.0.2 release. 3. Open the launcher. 4. No update banner appears. 5. Click ""Check for Updates"" — no update found.","Launcher detects v1.0.2 is available and shows the update banner.","Launcher reports no update available because the API call fails silently with 404.","FIX-018","Root cause: unauthenticated API calls to api.github.com for a private repo return 404. Fix: use gh auth token (GitHub CLI) or GITHUB_TOKEN env var for authentication."
